faceit_nickname,faceit_player_id,match_id,game_id,finished_at,started_at,competition_name,match_type,game_mode,max_players,teams_size
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-d962db5b-8d0e-4500-99a7-dd7e9f6e0534,cs2,1777848131,1777845015,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-0622c373-da8d-45d4-a4b8-fdffe6157abf,cs2,1777843768,1777841466,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-7eef2355-9a44-4951-aa29-e6dc5a4ca4d2,cs2,1777841120,1777839002,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-23d673e9-6fba-4a9f-aa9a-43d0f81c3e98,cs2,1777838701,1777837220,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-19bcaf81-32cb-49bb-aae3-71b94c0fc1f0,cs2,1777836770,1777834189,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-b4c709a1-2e7e-4871-95f9-7ffb4217758b,cs2,1777833466,1777831067,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-631e250f-c136-4c07-8601-7546ea90dd93,cs2,1777766410,1777764156,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-89d8d2a4-227e-423f-a0dd-958b0f53fec9,cs2,1777763549,1777760758,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-d1efc365-c4bf-4dee-8176-f5a160ccfb51,cs2,1777760380,1777758126,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-4f87e201-8acb-4b67-84a4-6681c2893441,cs2,1777684799,1777681708,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-b974dc93-218b-4685-ac51-631113d27eb5,cs2,1777680840,1777678165,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-2b952b3b-f336-4e63-a800-8cf588def509,cs2,1777677918,1777675820,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-2e976f80-7e8d-45c3-b20e-290763c17963,cs2,1777675585,1777673309,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-4975dd7d-242c-480b-a9cf-cfec3254031a,cs2,1777597115,1777594786,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-65f6ac0f-124c-453c-b19e-cbc91ddc8fd3,cs2,1777594184,1777592356,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-d7492780-a0b6-4d0e-88f0-f40777bb7d5c,cs2,1777591070,1777590817,1x1 BR'z,,1v1,2,1
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-016f146c-7409-4ff5-8bfe-351135aa7dc2,cs2,1777589413,1777586986,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-f6681da2-5741-430c-8e17-8f4c7198efd5,cs2,1777586586,1777584842,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-38f98175-b3b0-4730-bf92-ab1156ff7027,cs2,1777584255,1777581812,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-44cdb73a-2b8d-4880-be18-ff35a9e28ff0,cs2,1777581326,1777578901,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-494d55cb-4c10-48d0-bff5-a87eed32bc52,cs2,1777578540,1777577248,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-2ce0f9fe-a397-488a-ace9-9d0d9001a1f5,cs2,1777573434,1777570818,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-abddae19-846c-465f-a738-13df13c8166b,cs2,1777504541,1777502735,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-6c0f5fea-fe86-4b50-848d-f890403cf5b7,cs2,1777502006,1777500310,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-04dc69e1-1741-4bb7-a12d-697efc03536c,cs2,1777415770,1777411605,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-e9c3d969-9758-442c-baa5-fa029c43db7f,cs2,1777401129,1777398871,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-885d6d5f-df93-4cc0-977c-1e82b426ef66,cs2,1777240102,1777237568,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-76495940-8204-447c-b4f4-2a33bf37d980,cs2,1777236740,1777234615,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-d2671850-f271-45e4-8c8f-22b37be26217,cs2,1777233979,1777231558,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-02163a04-ff76-4429-86ee-07db57e298c2,cs2,1777223629,1777221801,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-1c8982d3-850b-4296-b54a-fad845f68280,cs2,1777168842,1777166343,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-8a34a7a7-b700-41f6-89bc-fb7b0d2cb6bd,cs2,1777165490,1777163232,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-e1984a86-0013-4edb-ae48-fd75f22152b0,cs2,1777162878,1777160666,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-8aadaef3-d6fa-4d43-a1f6-01d802e98b71,cs2,1777160206,1777157646,Europe 5v5 Queue,,5v5,10,5
